"['900090', '차이나하오란', '0', '773', '0.00', '0', '-48.8', '0.00', '', '0']"
"['900080', '에스앤씨엔진그룹', '463482', '+639', '0.00', '0', '5.0', '0.00', '-1.96', '0']"
"['900110', '이스트아시아홀딩스', '380932', '324', '0.00', '0', '1.5', '0.00', '-10.06', '0']"
"['900270', '헝셩그룹', '702997', '-1405', '0.00', '0', '15.3', '0.00', '0.29', '0']"
"['900260', '로스웰', '172184', '-1505', '0.00', '0', '15.6', '0.00', '3.75', '0']"
"['900290', 'GRT', '324948', '+2545', '0.00', '0', '20.9', '0.00', '1.47', '0']"
"['900300', '오가닉티코스메틱', '2895878', '+3135', '0.00', '0', '22.3', '0.00', '1.05', '0']"
"['900310', '컬러레이', '141406', '+2445', '0.00', '0', '31.5', '0.00', '2.07', '0']"
"['000250', '삼천당제약', '554870', '+43050', '61.15', '704', '11.1', '6.50', '27.09', '6620']"
"['000440', '중앙에너비스', '92', '-32650', '18.98', '1720', '3.5', '0.90', '30.16', '36288']"
"['001000', '신라섬유', '55779', '-2775', '163.24', '17', '2.9', '4.78', '117.25', '580']"
"['001540', '안국약품', '84599', '+12800', '17.98', '712', '6.1', '1.22', '10.12', '10501']"
"['001810', '무림SP', '23891', '+2870', '6.08', '472', '5.6', '0.33', '7.99', '8738']"
"['001840', '이화공영', '348846', '-8810', '106.14', '83', '3.9', '4.11', '73.52', '2146']"
"['002230', '피에스텍', '97457', '+5300', '8.69', '610', '8.2', '0.72', '3.30', '7335']"
"['002290', '삼일기업공사', '39348', '+3255', '15.21', '214', '5.0', '0.74', '0.30', '4379']"
"['002680', '한탑', '217744', '+2610', '56.74', '46', '1.9', '1.14', '69.03', '2293']"
"['002800', '신신제약', '1256663', '+8630', '35.22', '245', '8.3', '2.51', '23.62', '3436']"
"['003100', '선광', '6847', '+19700', '21.23', '928', '2.0', '0.43', '6.39', '45791']"
"['003310', '대주산업', '235938', '+1755', '22.79', '77', '5.5', '1.23', '15.50', '1427']"
"['003380', '하림지주', '244322', '+10800', '4.27', '2529', '14.3', '0.57', '4.70', '19050']"
"['003670', '포스코켐텍', '398365', '+51800', '29.55', '1753', '17.2', '4.75', '24.55', '10910']"
"['003800', '에이스침대', '1112', '-130000', '9.40', '13827', '6.9', '0.73', '7.16', '176970']"
"['004590', '한국가구', '1125', '-21000', '11.49', '1828', '6.3', '0.68', '6.55', '31016']"
"['004650', '창해에탄올', '30670', '+13150', '21.88', '601', '4.6', '1.11', '9.01', '11877']"
"['004780', '대륙제관', '4057', '+6050', '10.00', '605', '10.0', '0.96', '4.71', '6292']"
"['005160', '동국산업', '18309', '-3040', '7.94', '383', '5.4', '0.45', '2.96', '6821']"
"['005290', '동진쎄미켐', '237783', '10600', '11.78', '900', '19.7', '2.06', '6.76', '5135']"
"['005670', '푸드웰', '14212', '-6210', '18.99', '327', '6.0', '1.13', '10.40', '5489']"
"['005710', '대원산업', '6264', '-6480', '3.82', '1695', '14.3', '0.51', '0.17', '12599']"
"['005860', '한일사료', '325409', '+2125', '44.27', '48', '2.9', '1.30', '103.70', '1638']"
"['005990', '매일홀딩스', '7398', '+14300', '230.65', '62', '0.2', '0.78', '2.36', '18404']"
"['006050', '국영지앤엠', '594320', '-1695', '39.42', '43', '2.8', '1.12', '18.64', '1508']"
"['006140', '피제이전자', '3357', '+7000', '11.84', '591', '6.0', '0.70', '6.36', '10053']"
"['006580', '대양제지', '110560', '+3345', '0.00', '0', '-0.3', '1.06', '17.84', '3150']"
"['006620', '동구바이오제약', '1070461', '+26850', '18.12', '1482', '36.6', '5.42', '16.86', '4952']"
"['006730', '서부T&D', '177931', '-10100', '0.00', '0', '-5.7', '1.08', '', '9339']"
"['006910', '보성파워텍', '557995', '-3285', '0.00', '0', '-10.6', '1.79', '', '1835']"
"['006920', '모헨즈', '63108', '+6200', '39.74', '156', '8.6', '3.29', '12.37', '1883']"
"['007330', '푸른저축은행', '3921', '+7980', '4.65', '1717', '9.4', '0.52', '', '15330']"
"['007370', '진양제약', '291726', '+4500', '0.00', '0', '-12.6', '1.27', '', '3532']"
"['007390', '네이처셀', '2057845', '+6050', '605.00', '10', '1.4', '7.52', '147.48', '805']"
"['007530', '영신금속', '107781', '-2095', '0.00', '0', '-57.9', '0.78', '', '2673']"
"['007680', '대원', '32313', '+11950', '5.31', '2249', '9.9', '0.55', '0.93', '21808']"
"['007720', '대명코퍼레이션', '203189', '-2635', '23.74', '111', '11.0', '2.50', '27.56', '1056']"
"['007770', '한일화학', '6959', '+13250', '13.93', '951', '3.7', '0.51', '6.34', '25759']"
"['007820', '에스엠코어', '117767', '+13600', '0.00', '0', '-3.4', '3.60', '106.08', '3778']"
"['008290', '원풍물산', '214818', '+3880', '1940.00', '2', '0.3', '4.93', '128.79', '787']"
"['008370', '원풍', '10516', '+3820', '20.11', '190', '3.0', '0.61', '4.82', '6289']"
"['008470', '부스타', '15765', '-5460', '9.89', '552', '6.9', '0.66', '5.89', '8238']"
"['008800', '행남사', '324470', '+3775', '0.00', '0', '-89.3', '1.63', '', '2320']"
"['008830', '대동기어', '13', '-27800', '347.50', '80', '0.1', '0.41', '11.06', '67125']"
"['009300', '삼아제약', '328467', '+19950', '20.98', '951', '3.8', '0.81', '7.89', '24506']"
"['009520', '포스코엠텍', '421271', '-5330', '22.39', '238', '12.4', '2.69', '13.69', '1985']"
"['009620', '삼보산업', '1168', '-6860', '0.00', '0', '-40.1', '0.99', '28.33', '6924']"
"['009730', '코센', '258809', '-1345', '12.01', '112', '16.4', '1.84', '32.73', '730']"
"['009780', '엠에스씨', '2580', '6840', '10.72', '638', '17.2', '1.70', '8.46', '4024']"
"['010170', '대한광통신', '737295', '+6620', '25.66', '258', '16.9', '4.25', '24.38', '1559']"
"['010240', '흥국', '143765', '-5000', '8.87', '564', '13.3', '1.12', '5.56', '4484']"
"['010280', '쌍용정보통신', '2652376', '+1065', '0.00', '0', '-18.6', '1.62', '', '656']"
"['010470', '오리콤', '13848', '-5000', '13.59', '368', '5.7', '0.79', '2.11', '6326']"
"['011040', '경동제약', '12867', '12150', '13.93', '872', '9.5', '1.46', '7.18', '8339']"
"['011080', '형지I&C', '50854', '+1030', '0.00', '0', '-65.6', '1.51', '', '681']"
"['011320', '유니크', '93319', '+4865', '26.44', '184', '3.8', '1.06', '9.37', '4600']"
"['011370', '서한', '375775', '+2070', '2.70', '768', '31.1', '0.73', '1.54', '2839']"
"['011560', '세보엠이씨', '40431', '-11750', '4.97', '2362', '18.5', '0.89', '3.30', '13143']"
"['012340', '뉴인텍', '97948', '-1000', '0.00', '0', '-21.1', '3.33', '73.75', '300']"
"['012620', '원일특강', '7355', '-10150', '6.21', '1635', '7.2', '0.43', '9.99', '23457']"
"['012700', '리드코프', '11001', '-6110', '4.50', '1358', '12.0', '0.52', '18.14', '11862']"
"['012790', '신일제약', '30722', '+11550', '11.42', '1011', '8.4', '0.97', '6.14', '11851']"
"['012860', '서연전자', '55180', '-1895', '0.00', '0', '-27.1', '0.40', '12.30', '4688']"
"['013030', '하이록코리아', '12953', '-24100', '13.95', '1728', '7.4', '1.00', '4.73', '24092']"
"['013120', '동원개발', '72467', '-4075', '3.68', '1108', '18.3', '0.62', '0.72', '6550']"
"['013310', '아진산업', '179407', '-2630', '4.90', '537', '7.8', '0.37', '5.91', '7050']"
"['013720', '청보산업', '407597', '+4195', '0.00', '0', '-2.8', '1.68', '18.16', '2495']"
"['013810', '스페코', '152241', '-5520', '0.00', '0', '-1.1', '2.03', '26.50', '2725']"
"['013990', '아가방컴퍼니', '219989', '+4980', '0.00', '0', '-2.7', '0.98', '3184.98', '5079']"
"['014100', '보령메디앙스', '148667', '+11800', '22.74', '519', '13.5', '2.95', '18.03', '4004']"
"['014190', '원익큐브', '1333708', '+3250', '57.02', '57', '2.3', '1.48', '31.49', '2202']"
"['014200', '광림', '108671', '+3210', '0.00', '0', '-15.5', '1.66', '', '1930']"
"['014470', '부방', '67841', '+2795', '55.90', '50', '1.3', '0.83', '23.93', '3379']"
"['014570', '고려제약', '383805', '-8020', '18.69', '429', '8.5', '1.55', '13.76', '5179']"
"['014620', '성광벤드', '77922', '+11700', '0.00', '0', '-3.6', '0.74', '', '15747']"
"['014940', '오리엔탈정공', '48457', '-834', '0.00', '0', '-9.4', '2.92', '32.03', '286']"
"['014970', '삼륭물산', '90063', '+5870', '21.58', '272', '5.9', '1.27', '9.71', '4636']"
"['015710', '코콤', '89392', '+7490', '11.59', '646', '10.9', '1.28', '8.48', '5835']"
"['015750', '성우하이텍', '148365', '-4445', '8.72', '510', '3.3', '0.29', '5.19', '15234']"
"['016100', '리더스코스메틱', '93443', '+15750', '0.00', '0', '-6.9', '3.49', '51.83', '4516']"
"['016170', '카카오M', '16740', '-99000', '36.53', '2710', '21.7', '7.38', '17.29', '13421']"
"['016250', '이테크건설', '5622', '-123200', '11.54', '10678', '11.7', '1.33', '5.26', '92905']"
