000020,동화약품,86595,-11400,6.71,1700,17.1,1.07,8.39,10631,2589,110,470,3184
000030,우리은행,590152,+16350,8.18,1999,7.4,0.54,,30127,85507,21567,15301,110526
000040,KR모터스,889263,-536,0.00,0,-61.3,1.53,,350,417,-260,-315,642
000050,경방,6113,+13700,14.84,923,3.7,0.54,9.04,25502,3608,423,253,3756
000060,메리츠화재,170271,18550,5.28,3510,22.5,1.15,,16071,64287,5136,3846,21088
000070,삼양홀딩스,11720,-101500,20.84,4871,2.8,0.66,6.50,154881,23963,988,672,8693
000075,삼양홀딩스우,118,+53500,0.00,0,,0.00,,0,,,,163
000080,하이트진로,85269,+16700,91.76,182,1.0,0.98,8.78,17074,18899,873,127,11712
000087,하이트진로2우B,1050,-14700,0.00,0,,0.00,,0,,,,166
000100,유한양행,15231,230000,23.59,9751,7.0,1.79,17.32,128815,14622,887,1096,28082
000105,유한양행우,15,+212000,0.00,0,,0.00,,0,,,,501
000120,CJ대한통운,34321,-154500,86.51,1786,1.3,1.49,14.03,103964,71104,2357,389,35245
000140,하이트진로홀딩스,2307,+8090,0.00,0,-2.8,0.39,6.81,21002,18812,1001,-76,1877
000145,하이트진로홀딩스우,94,+8450,0.00,0,,0.00,,0,,,,40
000150,두산,39625,-108000,56.57,1909,1.7,1.07,6.51,100593,175852,11799,459,20734
000155,두산우,1070,+75600,0.00,0,,0.00,,0,,,,3335
000157,두산2우B,251,-75300,0.00,0,,0.00,,0,,,,742
000180,성창기업지주,203393,-2705,44.34,61,0.8,0.38,29.83,7193,1783,-2,41,1887
000210,대림산업,106603,+80400,6.33,12702,10.1,0.61,5.15,131198,123355,5459,5080,27979
000215,대림산업우,26134,31700,0.00,0,,0.00,,0,,,,1205
000220,유유제약,349683,+15100,18.60,812,5.7,1.41,18.94,10692,629,36,43,962
000225,유유제약1우,41340,+8680,0.00,0,,0.00,,0,,,,98
000227,유유제약2우B,401,+19050,0.00,0,,0.00,,0,,,,31
000230,일동홀딩스,7821,+14100,204.35,69,0.5,0.85,261.68,16513,411,-18,0,1479
000240,한국타이어월드와이드,21908,18250,9.87,1849,5.9,0.58,6.49,31402,8248,1993,1790,16976
000270,기아차,660875,-31250,12.95,2414,3.6,0.47,4.68,66264,535357,6622,9680,126676
000300,대유플러스,339103,-985,0.00,0,-15.9,1.14,2.91,864,4577,71,-35,992
000320,노루홀딩스,10739,+14350,3.49,4114,11.7,0.51,5.14,28287,7713,173,620,1907
000325,노루홀딩스우,103,+18650,0.00,0,,0.00,,0,,,,35
000370,한화손해보험,69738,+6710,4.42,1519,14.3,0.66,,10145,52773,1975,1476,7833
000390,삼화페인트,94219,-8680,105.85,82,0.7,0.78,13.46,11137,4881,88,20,2295
000400,롯데손해보험,406730,+2550,4.72,540,14.2,0.63,,4075,22800,1011,746,3424
000430,대원강업,7603,+4100,11.68,351,4.8,0.56,5.25,7374,10282,382,262,2542
000480,조선내화,312,+83400,19.75,4223,2.5,0.60,14.19,139324,6943,-32,227,3336
000490,대동공업,87623,-7080,15.26,464,4.5,0.79,10.31,8991,6101,172,99,1680
000500,가온전선,2546,-21500,60.39,356,0.5,0.35,11.30,62234,8370,79,15,894
000520,삼일제약,2084047,+26500,0.00,0,-2.4,2.98,46.96,8898,920,13,-13,1723
000540,흥국화재,39531,-5920,4.81,1231,14.4,0.61,,9658,31607,1072,853,3803
000545,흥국화재우,4431,5880,0.00,0,,0.00,,0,,,,45
000547,흥국화재2우B,1880,30600,0.00,0,,0.00,,0,,,,47
000590,CS홀딩스,3928,-69000,13.43,5138,2.7,0.37,-2.88,187283,1210,170,143,797
000640,동아쏘시오홀딩스,13816,+100500,18.92,5311,3.6,0.68,10.85,148700,6903,534,325,6169
000650,천일고속,593,+83600,4.40,18993,63.0,2.53,166.11,32982,552,-20,271,1195
000660,SK하이닉스,3611187,+81800,5.43,15073,36.8,1.76,2.94,46449,301094,137213,106422,595506
000670,영풍,1211,-707000,4.97,142197,8.6,0.44,4.10,1610072,37249,1594,2723,13023
000680,LS네트웍스,27483,+3010,10.75,280,3.4,0.38,49.11,7902,4434,28,206,2372
000700,유수홀딩스,24960,+5570,0.00,0,-2.1,0.75,2.02,7432,4336,579,224,1451
000720,현대건설,819149,+63900,35.30,1810,3.2,1.10,4.86,58029,168871,9861,3716,71156
000725,현대건설우,4236,+243500,0.00,0,,0.00,,0,,,,241
000760,이화산업,904,+21350,0.00,0,-2.0,0.56,71.01,38463,657,8,-30,598
000810,삼성화재,40984,-270000,11.88,22731,8.4,1.15,,235548,186684,11388,9689,127912
000815,삼성화재우,807,+184500,0.00,0,,0.00,,0,,,,5889
000850,화천기공,2821,-48800,12.32,3961,3.2,0.39,3.33,126071,2084,110,87,1074
000860,강남제비스코,2888,-26900,7.54,3568,4.9,0.36,2.23,74589,3424,123,220,1749
000880,한화,198909,+30750,5.47,5619,9.1,0.66,3.40,46382,504044,21589,13109,23050
000885,한화우,6830,22100,0.00,0,,0.00,,0,,,,106
00088K,한화3우B,20999,14650,0.00,0,,0.00,,0,,,,3292
000890,보해양조,6440259,-860,7.75,111,11.5,0.83,10.56,1032,996,21,107,831
000910,유니온,42590,-4285,11.90,360,3.7,0.45,11.09,9537,1811,5,19,669
000950,전방,852,-21600,0.00,0,-7.8,0.24,,88632,1825,-181,-130,363
000970,한국주철관,122846,-10000,8.81,1135,4.7,0.92,7.89,10868,4207,192,112,2280
000990,DB하이텍,448429,17250,6.78,2546,27.6,1.68,4.53,10240,6797,1432,1102,7659
000995,DB하이텍1우,104,38850,0.00,0,,0.00,,0,,,,44
001020,페이퍼코리아,124517,-1200,0.00,0,-115.2,1.06,,1128,5565,-342,-1030,651
001040,CJ,118136,-134500,8.26,16286,12.1,1.08,4.49,125004,268986,13260,11377,39243
