"['000020', '동화약품', '39862', '-11650', '6.85', '1700', '17.1', '1.10', '8.70', '10631']"
"['000030', '우리은행', '428231', '+16300', '8.15', '1999', '7.4', '0.54', '', '30127']"
"['000040', 'KR모터스', '708385', '-530', '0.00', '0', '-61.3', '1.51', '', '350']"
"['000050', '경방', '2833', '-13600', '14.73', '923', '3.7', '0.53', '9.00', '25502']"
"['000060', '메리츠화재', '127722', '-18500', '5.27', '3510', '22.5', '1.15', '', '16071']"
"['000070', '삼양홀딩스', '9444', '-102000', '20.94', '4871', '2.8', '0.66', '6.53', '154881']"
"['000075', '삼양홀딩스우', '117', '+53500', '0.00', '0', '', '0.00', '', '0']"
"['000080', '하이트진로', '68667', '+16700', '91.76', '182', '1.0', '0.98', '8.78', '17074']"
"['000087', '하이트진로2우B', '620', '-14700', '0.00', '0', '', '0.00', '', '0']"
"['000100', '유한양행', '12441', '+230500', '23.64', '9751', '7.0', '1.79', '17.36', '128815']"
"['000105', '유한양행우', '3', '211000', '0.00', '0', '', '0.00', '', '0']"
"['000120', 'CJ대한통운', '25892', '-155000', '86.79', '1786', '1.3', '1.49', '14.06', '103964']"
"['000140', '하이트진로홀딩스', '2192', '+8090', '0.00', '0', '-2.8', '0.39', '6.81', '21002']"
"['000145', '하이트진로홀딩스우', '94', '+8450', '0.00', '0', '', '0.00', '', '0']"
"['000150', '두산', '33586', '109000', '57.10', '1909', '1.7', '1.08', '6.52', '100593']"
"['000155', '두산우', '903', '75400', '0.00', '0', '', '0.00', '', '0']"
"['000157', '두산2우B', '240', '-75000', '0.00', '0', '', '0.00', '', '0']"
"['000180', '성창기업지주', '188194', '-2710', '44.43', '61', '0.8', '0.38', '29.87', '7193']"
"['000210', '대림산업', '81067', '+80300', '6.32', '12702', '10.1', '0.61', '5.15', '131198']"
"['000215', '대림산업우', '16869', '+31800', '0.00', '0', '', '0.00', '', '0']"
"['000220', '유유제약', '320482', '+15050', '18.53', '812', '5.7', '1.41', '18.88', '10692']"
"['000225', '유유제약1우', '33583', '+8560', '0.00', '0', '', '0.00', '', '0']"
"['', '', '', '', '', '', '', '', '', '']"
"['000230', '일동홀딩스', '7456', '+14000', '202.90', '69', '0.5', '0.85', '260.13', '16513']"
"['000240', '한국타이어월드와이드', '18111', '+18400', '9.95', '1849', '5.9', '0.59', '6.55', '31402']"
"['000270', '기아차', '527893', '-31250', '12.95', '2414', '3.6', '0.47', '4.68', '66264']"
"['000300', '대유플러스', '232986', '-991', '0.00', '0', '-15.9', '1.15', '2.94', '864']"
"['000320', '노루홀딩스', '8989', '+14350', '3.49', '4114', '11.7', '0.51', '5.14', '28287']"
"['000325', '노루홀딩스우', '102', '+18700', '0.00', '0', '', '0.00', '', '0']"
"['000370', '한화손해보험', '53880', '+6660', '4.38', '1519', '14.3', '0.66', '', '10145']"
"['000390', '삼화페인트', '81956', '-8710', '106.22', '82', '0.7', '0.78', '13.49', '11137']"
"['000400', '롯데손해보험', '355173', '+2540', '4.70', '540', '14.2', '0.62', '', '4075']"
"['000430', '대원강업', '6943', '+4080', '11.62', '351', '4.8', '0.55', '5.24', '7374']"
"['000480', '조선내화', '271', '+83100', '19.68', '4223', '2.5', '0.60', '14.14', '139324']"
"['000490', '대동공업', '75761', '-7060', '15.22', '464', '4.5', '0.79', '10.29', '8991']"
"['000500', '가온전선', '2331', '21600', '60.67', '356', '0.5', '0.35', '11.33', '62234']"
"['000520', '삼일제약', '1958882', '+26700', '0.00', '0', '-2.4', '3.00', '47.22', '8898']"
"['000540', '흥국화재', '30439', '+5960', '4.84', '1231', '14.4', '0.62', '', '9658']"
"['000545', '흥국화재우', '3192', '-5800', '0.00', '0', '', '0.00', '', '0']"
"['000547', '흥국화재2우B', '1146', '-30200', '0.00', '0', '', '0.00', '', '0']"
"['000590', 'CS홀딩스', '3178', '-69100', '13.45', '5138', '2.7', '0.37', '-2.87', '187283']"
"['000640', '동아쏘시오홀딩스', '10531', '+100500', '18.92', '5311', '3.6', '0.68', '10.85', '148700']"
"['000650', '천일고속', '438', '+83500', '4.40', '18993', '63.0', '2.53', '165.88', '32982']"
"['000660', 'SK하이닉스', '2937386', '+82000', '5.44', '15073', '36.8', '1.77', '2.95', '46449']"
"['000670', '영풍', '1013', '708000', '4.98', '142197', '8.6', '0.44', '4.11', '1610072']"
"['000680', 'LS네트웍스', '19727', '3000', '10.71', '280', '3.4', '0.38', '49.05', '7902']"
"['000700', '유수홀딩스', '19604', '-5500', '0.00', '0', '-2.1', '0.74', '1.99', '7432']"
"['000720', '현대건설', '665259', '+64200', '35.47', '1810', '3.2', '1.11', '4.89', '58029']"
"['000725', '현대건설우', '3568', '+242000', '0.00', '0', '', '0.00', '', '0']"
"['000760', '이화산업', '862', '+21800', '0.00', '0', '-2.0', '0.57', '71.71', '38463']"
"['000810', '삼성화재', '28770', '-270000', '11.88', '22731', '8.4', '1.15', '', '235548']"
"['000815', '삼성화재우', '632', '+184500', '0.00', '0', '', '0.00', '', '0']"
"['000850', '화천기공', '2358', '-48600', '12.27', '3961', '3.2', '0.39', '3.30', '126071']"
"['000860', '강남제비스코', '2319', '-26700', '7.48', '3568', '4.9', '0.36', '2.16', '74589']"
"['000880', '한화', '157370', '+30700', '5.46', '5619', '9.1', '0.66', '3.40', '46382']"
"['000885', '한화우', '5748', '22100', '0.00', '0', '', '0.00', '', '0']"
"['00088K', '한화3우B', '14560', '-14600', '0.00', '0', '', '0.00', '', '0']"
"['000890', '보해양조', '5594518', '-864', '7.78', '111', '11.5', '0.84', '10.59', '1032']"
"['000910', '유니온', '35724', '-4290', '11.92', '360', '3.7', '0.45', '11.10', '9537']"
"['000950', '전방', '642', '+21850', '0.00', '0', '-7.8', '0.25', '', '88632']"
"['000970', '한국주철관', '60510', '-9990', '8.80', '1135', '4.7', '0.92', '7.88', '10868']"
"['000990', 'DB하이텍', '391013', '-17150', '6.74', '2546', '27.6', '1.67', '4.51', '10240']"
"['000995', 'DB하이텍1우', '101', '+38900', '0.00', '0', '', '0.00', '', '0']"
"['001020', '페이퍼코리아', '84077', '-1205', '0.00', '0', '-115.2', '1.07', '', '1128']"
"['001040', 'CJ', '99406', '-134500', '8.26', '16286', '12.1', '1.08', '4.49', '125004']"
"['001045', 'CJ우', '1241', '-61400', '0.00', '0', '', '0.00', '', '0']"
"['001060', 'JW중외제약', '1186143', '+43650', '0.00', '0', '-0.3', '3.48', '26.22', '12541']"
"['001065', 'JW중외제약우', '9500', '+28600', '0.00', '0', '', '0.00', '', '0']"
"['001067', 'JW중외제약2우B', '8792', '+46900', '0.00', '0', '', '0.00', '', '0']"
"['001070', '대한방직', '9291', '+11850', '0.00', '0', '-5.5', '0.37', '', '31785']"
"['001080', '만호제강', '13047', '-19550', '14.41', '1357', '1.8', '0.35', '1.54', '55125']"
"['001120', 'LG상사', '73809', '-22450', '14.42', '1557', '4.9', '0.73', '6.35', '30815']"
"['001130', '대한제분', '999', '+178500', '5.82', '30644', '7.4', '0.42', '2.75', '420360']"
"['001140', '국보', '10248', '+14800', '0.00', '0', '-17.2', '1.40', '', '10597']"
"['001200', '유진투자증권', '128553', '+2730', '4.71', '580', '8.2', '0.37', '', '7309']"
"['001210', '금호전기', '20702', '+7460', '0.00', '0', '-22.4', '0.83', '17.63', '8938']"
"['001230', '동국제강', '203406', '-8120', '165.71', '49', '0.2', '0.34', '6.74', '23619']"
